super_opeid,name,type,tier,iclevel,state,count,access,success,mobility
3965,Bay State College,Private For-profit,Four-year for-profit,Four-year,MA,150,20.492889,7.8499851,1.6086887
3545,Baylor University,Private Non-profit,Highly selective private,Four-year,TX,2522.6667,4.0205302,34.165894,1.3736501
8558,Beaufort County Community College,Public,Two-year (public and private not-for-profit),Two-year,NC,182.33333,25.968102,4.0614648,1.0546852
2123,Becker College,Private Non-profit,Selective private,Four-year,MA,239,9.3802118,9.5494356,.89575732
12670,Bel - Rea Institute Of Animal Technology,Private For-profit,Two-year for-profit,Two-year,CO,107,10.138923,0,0
2397,Belhaven University,Private Non-profit,Selective private,Four-year,MS,139.5,12.699437,25.175016,3.1970854
1954,Bellarmine University,Private Non-profit,Selective private,Four-year,KY,318,3.0137699,31.309267,.94358933
3769,Bellevue College,Public,Nonselective four-year public,Four-year,WA,1853.6666,6.4948902,22.94879,1.4904987
9743,Bellevue University,Private Non-profit,Selective private,Four-year,NE,140.33333,7.8210874,12.651467,.98948234
4999,Bellingham Technical College,Public,Two-year (public and private not-for-profit),Two-year,WA,313.33334,12.366497,9.5473108,1.1806679
2910,Belmont Abbey College,Private Non-profit,Selective private,Four-year,NC,134.33333,4.9032426,29.988539,1.4704109
9941,Belmont College,Public,Two-year (public and private not-for-profit),Two-year,OH,289,18.119841,8.7699795,1.5891062
3479,Belmont University,Private Non-profit,Selective private,Four-year,TN,472.66666,2.9190464,19.804945,.57811552
3835,Beloit College,Private Non-profit,Highly selective private,Four-year,WI,257.33334,3.7870955,23.815231,.90190554
10256,Benedictine College,Private Non-profit,Selective private,Four-year,KS,231,5.7753911,18.237427,1.0532829
1767,Benedictine University,Private Non-profit,Selective private,Four-year,IL,223,2.9397817,37.92054,1.114781
2911,Bennett College,Private Non-profit,Selective private,Four-year,NC,126,18.29908,21.229877,3.884872
3682,Bennington College,Private Non-profit,Highly selective private,Four-year,VT,124.66666,9.1063251,10.174942,.92656332
2124,Bentley University,Private Non-profit,Highly selective private,Four-year,MA,834.33331,4.855969,60.582417,2.9418633
4736,Bergen Community College,Public,Two-year (public and private not-for-profit),Two-year,NJ,1818,13.5021,22.634359,3.056114
7394,"Berkeley College of New York, NY",Private For-profit,Four-year for-profit,Four-year,NY,372,27.447081,21.035694,5.7736835
7502,"Berkeley College of Woodland Park, NJ",Private For-profit,Four-year for-profit,Four-year,NJ,446.33334,20.836933,19.284176,4.0182309
2126,Berklee College Of Music,Private Non-profit,Nonselective four-year private not-for-profit,Four-year,MA,519.33331,3.6679511,19.59132,.71860003
